code_departement;code_region;annee;nombre;taux_pour_mille_habitants;population_insee;population_insee_par_annee;logement_insee;logement_insee_par_annee;libelle_du_departement;inscrits;abstentions;votants;blancs;nuls;pourcentage_absention;pourcentage_votant_departement;pourcentage_blanc;pourcentage_nuls;nb_voix;pourcentage_voix;sexe;nom
92;11;2018;10488;6.48;1619120;2018;801737;2018;Hauts-de-Seine;997667;208790;788877;11841;2294;20.93;79.07;1.19;0.23;10518;1.05;1;6
93;11;2024;3852;2.29;1681725;2022;705282;2021;Seine-Saint-Denis;793929;239927;554002;7607;3244;30.22;69.78;0.96;0.41;110118;13.87;0;1
91;11;2016;753;0.58;1287330;2016;550895;2016;Essonne;799500;192200;607300;8954;3405;24.04;75.96;1.12;0.43;13480;1.69;0;0
75;11;2020;22426;10.45;2145906;2020;1393800;2020;Paris;1368025;296668;1071357;11028;5267;21.69;78.31;0.81;0.39;17267;1.26;0;0
95;11;2024;4387;3.45;1270845;2022;529926;2021;Val-d'Oise;733529;192853;540676;8027;3064;26.29;73.71;1.09;0.42;6094;0.83;1;6
93;11;2016;8778;5.46;1606660;2016;662466;2016;Seine-Saint-Denis;793929;239927;554002;7607;3244;30.22;69.78;0.96;0.41;64543;8.13;1;3
77;11;2019;6261;4.41;1421197;2019;626435;2019;Seine-et-Marne;899303;223172;676131;11057;4145;24.82;75.18;1.23;0.46;15042;1.67;0;10
91;11;2018;2408;1.86;1296641;2018;564587;2018;Essonne;799500;192200;607300;8954;3405;24.04;75.96;1.12;0.43;33046;4.13;1;8
91;11;2016;5496;9.98;1287330;2016;550895;2016;Essonne;799500;192200;607300;8954;3405;24.04;75.96;1.12;0.43;29562;3.7;0;7
91;11;2024;4033;6.86;1324546;2022;587710;2021;Essonne;799500;192200;607300;8954;3405;24.04;75.96;1.12;0.43;164503;20.58;0;1
94;11;2020;4559;3.24;1407972;2020;654340;2020;Val-de-Marne;796086;195409;600677;8501;3118;24.55;75.45;1.07;0.39;3730;0.47;0;9
94;11;2021;11019;7.79;1415367;2021;662168;2021;Val-de-Marne;796086;195409;600677;8501;3118;24.55;75.45;1.07;0.39;3730;0.47;0;9
93;11;2016;6879;4.28;1606660;2016;662466;2016;Seine-Saint-Denis;793929;239927;554002;7607;3244;30.22;69.78;0.96;0.41;5890;0.74;1;6
75;11;2017;2754;1.26;2187526;2017;1382779;2017;Paris;1368025;296668;1071357;11028;5267;21.69;78.31;0.81;0.39;12139;0.89;0;2
94;11;2019;95;0.07;1407124;2019;647289;2019;Val-de-Marne;796086;195409;600677;8501;3118;24.55;75.45;1.07;0.39;192427;24.17;0;5
92;11;2021;19;0.01;1635291;2021;824372;2021;Hauts-de-Seine;997667;208790;788877;11841;2294;20.93;79.07;1.19;0.23;10518;1.05;1;6
95;11;2019;4621;3.7;1249674;2019;517063;2019;Val-d'Oise;733529;192853;540676;8027;3064;26.29;73.71;1.09;0.42;37564;5.12;0;4
92;11;2023;6670;4.05;1647435;2022;824372;2021;Hauts-de-Seine;997667;208790;788877;11841;2294;20.93;79.07;1.19;0.23;47103;4.72;0;7
93;11;2023;11268;6.7;1681725;2022;705282;2021;Seine-Saint-Denis;793929;239927;554002;7607;3244;30.22;69.78;0.96;0.41;64543;8.13;1;3
91;11;2017;4200;3.24;1296130;2017;558684;2017;Essonne;799500;192200;607300;8954;3405;24.04;75.96;1.12;0.43;7944;0.99;1;6
93;11;2021;9210;5.52;1668670;2021;705282;2021;Seine-Saint-Denis;793929;239927;554002;7607;3244;30.22;69.78;0.96;0.41;266632;33.58;0;5
94;11;2019;5742;4.08;1407124;2019;647289;2019;Val-de-Marne;796086;195409;600677;8501;3118;24.55;75.45;1.07;0.39;3730;0.47;0;9
91;11;2019;2022;1.55;1301659;2019;570417;2019;Essonne;799500;192200;607300;8954;3405;24.04;75.96;1.12;0.43;15203;1.9;0;10
93;11;2024;16038;9.54;1681725;2022;705282;2021;Seine-Saint-Denis;793929;239927;554002;7607;3244;30.22;69.78;0.96;0.41;64543;8.13;1;3
93;11;2022;2937;1.75;1681725;2022;705282;2021;Seine-Saint-Denis;793929;239927;554002;7607;3244;30.22;69.78;0.96;0.41;17481;2.2;1;8
78;11;2021;904;0.62;1456365;2021;661312;2021;Yvelines;961245;211708;749537;9601;3430;22.02;77.98;1.0;0.36;101398;10.55;1;3
95;11;2016;1006;0.82;1221923;2016;497749;2016;Val-d'Oise;733529;192853;540676;8027;3064;26.29;73.71;1.09;0.42;9101;1.24;0;2
95;11;2022;3053;2.4;1270845;2022;529926;2021;Val-d'Oise;733529;192853;540676;8027;3064;26.29;73.71;1.09;0.42;3352;0.46;0;9
92;11;2020;4099;2.52;1626213;2020;815765;2020;Hauts-de-Seine;997667;208790;788877;11841;2294;20.93;79.07;1.19;0.23;47103;4.72;0;7
94;11;2018;2945;2.11;1396913;2018;640016;2018;Val-de-Marne;796086;195409;600677;8501;3118;24.55;75.45;1.07;0.39;31904;4.01;0;7
75;11;2022;16042;7.59;2113705;2022;1396753;2021;Paris;1368025;296668;1071357;11028;5267;21.69;78.31;0.81;0.39;317372;23.2;0;5
77;11;2021;10312;7.17;1438100;2021;641376;2021;Seine-et-Marne;899303;223172;676131;11057;4145;24.82;75.18;1.23;0.46;26718;2.97;0;7
